video_path,label,method
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\236.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\537.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\038_125.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\789.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\098.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\630.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\013.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\165_137.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\101_096.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\093_121.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\034_590.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\159.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\079_076.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\641.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\963.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\347.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\646.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\258.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\064_991.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\024_073.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\619.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\495.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\422.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\974.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\272.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\025_067.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\039_058.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\111_094.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\126_104.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\585.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\321.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\110_043.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\065_089.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\079_076.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\139_130.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_13__secret_conversation__PLNVLO74.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\087_081.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\574.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\085_124.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\370.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\022_489.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\098_092.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\000_003.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\100_077.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\981.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\164_216.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\110_043.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\425.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\069_961.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\104_126.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\642.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\166.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\03_13__outside_talking_still_laughing__GBYWJW06.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\072.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\987.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\518.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\011_805.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\054_071.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\587.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\100_077.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\755.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_01__walking_outside_cafe_disgusted__YVGY8LOK.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\164.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\253.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\018.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\002_006.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\598.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\926.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\996.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\089_065.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\01_21__talking_angry_couch__03X7CELV.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\021_312.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\084_042.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\157_245.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\486.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\026_012.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\112_892.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\030_193.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\844.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\717.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\602.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\022_489.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\160_928.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\227.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\123_119.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\116_091.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\140_143.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\115_939.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\502.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\654.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\470.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\050_059.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\428.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\431.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\744.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\020_344.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_09__exit_phone_room__HIH8YA82.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\892.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\980.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\147_055.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\579.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\166_167.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\216.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\681.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\031.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\378.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_07__walk_down_hall_angry__U7DEOZNV.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\059_050.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\295.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\164_216.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\719.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\165_137.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\688.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\748.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\883.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\231.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\222.mp4,0,original
